ICAO,Altitude,PosX,PosY
837D7F,24775,180.75377,89.64569
81857F,25200,-89.23431,90.35431
7E817F,23175,267.69096,-90.35706
7F8684,25175,267.70875,89.6347
7F8382,24375,95.30621,88.94531
7E7F82,27975,-87.74117,-91.06018
7D7C81,24400,90.75293,89.64294
7C7E81,24375,267.70293,-89.66766
7B7D81,24400,90.74121,90.35156
76857E,22800,-3.82324,-1.55508
7F7E7E,24025,-89.24661,91.06842
7F7F76,22825,-2.27037,1.50787
73807D,21200,188.22363,-88.95081
808181,22400,0.68262,1.55522
74817E,24775,176.18937,89.64569
7F8381,24400,-87.73535,88.94806
799784,25575,267.70884,-88.24219
71807D,24775,267.70288,91.05194
8F8081,26400,89.28799,88.95355
7B897C,23600,-83.21604,-162.20764
838586,28000,-3.7151,23.29405
7E7F7F,24800,-87.76843,-92.44995
81818D,26800,179.26406,-76.99219
7F7E81,26400,90.76574,-84.00696
82807F,22375,179.10059,86.185
817F7D,25150,-84.57156,-160.09497
857E7E,24800,182.25293,91.05469
82818F,25200,5.31743,4.85638
7F8080,24400,-89.2938,-92.4472
918282,26025,269.29417,92.46643
818481,24775,182.27915,98.1134
888583,28400,180.7716,-79.81018
7F7F7C,27150,269.24623,-88.95355
7F8180,24400,93.77487,88.92883
79847C,25600,-2.23526,4.57027
777E81,24400,90.74186,-85.42969
7E8187,25200,177.72071,94.55933
7B817F,24775,84.69984,-158.46268
7D8381,24375,-89.25223,86.13007
7D817F,25175,84.71767,22.76367
847E80,24000,84.69966,-156.53252
7E807F,25600,-0.76451,175.32238
807E80,24775,90.74782,93.86444
818080,24350,2.21361,1.49698
888784,24400,182.24707,-89.64294
83837F,24775,267.70851,-91.05469
838E7E,24800,182.24698,-90.35431
7C7A8A,24025,258.54438,90.35156
817D7F,24375,-0.76574,175.33872
7E8081,24775,-89.24031,89.65118
827D80,24800,186.74702,-88.94806
7F7F7C,26350,183.77641,88.93982
818181,21975,-86.25501,-134.47266
767F80,24400,180.74707,89.64844
817C7F,24375,90.76564,-89.65668
7C8481,23575,266.21741,90.35431
7C8181,24400,2.25293,-178.46862
888887,24375,92.27878,88.93982
88877D,23975,-81.71449,166.9918
877D7E,24350,180.75373,89.64844
7C7D7F,24775,90.75969,-90.35156
7B7C82,24800,90.75293,88.93707
808283,25175,89.27597,91.05469
7D827F,24000,177.69429,86.81946
81867F,23950,188.41035,-65.72021
7D837C,23200,-83.25298,14.94049
7E807E,23125,180.77719,98.8385
807E7F,24800,180.75293,90.34882
7A7E81,23600,-0.86103,169.1197
7D8B81,25625,179.29431,-88.2312
818384,26025,182.26474,88.23669
858180,25200,179.22267,87.5473
8C8281,26000,92.29731,-90.31586
7F8D7F,24425,180.70056,82.62543
7F7F7E,24800,264.70622,91.08215
8C8081,24400,-89.22216,93.16956
7D8077,23600,90.75382,-94.51538
7B877E,23225,0.76015,1.54585
7F8279,24400,92.25911,-89.61823
808B83,26000,5.34196,172.40556
837F7D,24825,84.71201,17.65173
7C847E,24400,-87.70884,95.32013
777E7F,24400,180.74707,89.64569
85837F,24825,177.70297,-89.61823
7A8B79,24800,267.72968,77.69806
797E81,24000,0.64746,-178.51624
7C8180,23600,267.72395,89.65393
80818F,25200,8.31747,-175.27458
8B8281,25600,269.26401,89.65393
8E8682,24400,96.84073,-81.92505
7F8180,24800,-89.25298,-91.05469
8D8081,26000,269.25902,-90.31311
817E80,24425,180.71782,91.09039
7F8080,24425,-89.25279,-88.92883
85827F,24425,0.742,1.53345
7E817C,24025,180.76592,90.3598
82827F,22400,263.17676,-88.24768
847F7F,27150,89.2641,88.23669
888883,24400,182.25288,-89.65118
7B817F,24800,267.75879,-89.64844
7F8082,27950,-89.22835,-89.65118
17F7E7,48475,12.04591,12.31113
828382,24400,267.71782,91.04919
817F81,26775,180.78939,-91.05743
828B7F,23575,-81.69676,167.09224
81857F,23175,173.17067,-88.94806
7B8D7F,22775,186.80138,-88.25317
8B7F81,24375,177.7527,-89.64569
717F7F,24800,182.25293,90.35156
77807F,24350,182.29698,90.34882
7C7D80,29200,90.82343,-92.46643
7E7F80,24400,90.74702,89.64844
7E807F,24400,179.23431,90.3653
7B7D81,24375,180.75973,88.94531
7E7E7E,27175,182.26474,90.34882
83897F,24800,269.25288,-89.65118
7F7F81,24775,-0.75978,178.46637
7F7E80,26350,3.7939,178.46745
7F857E,24800,266.24702,90.35156
78827F,24375,5.30557,4.71332
7D8B80,24375,90.76569,89.65393
7D7E80,24400,90.7646,-88.24768
7A8580,25575,266.2667,90.34607
7F8481,22375,92.22548,90.35156
828E80,24400,84.74707,18.06921
7A867D,24375,-3.79284,-10.69836
817F7F,24775,182.29703,-90.35431
7F8081,27575,93.75879,89.64294
7E7E80,24800,90.74117,-90.35431
7E8281,24400,182.24702,-89.65118
8E7F80,24775,-2.2852,-1.53368
8B8585,24375,90.76564,-89.64844
7E7E7F,24400,-83.24712,-15.05905
757E80,24775,5.31702,-178.4567
727F81,24400,90.74707,89.64569
7E8280,24400,180.75293,-92.46643
7D8283,22425,177.68857,89.64569
838980,23975,-81.70272,-13.10865
807D7D,21575,-87.76469,-89.64844
838D80,24800,-89.25298,-89.65393
807D80,24375,90.76564,89.64569
808282,21975,179.18839,91.75507
8B8180,24400,90.74702,-90.35156
80827F,24775,-0.75973,1.54562
818180,24775,180.76564,-89.65393
828A84,24775,176.19533,-89.65393
8D8180,24800,-3.74707,-1.53138
81807B,21575,269.25293,89.65118
76807F,24375,83.21599,19.05414
7E877F,24400,182.24707,91.05194
797E80,24775,179.32364,-87.53906
8B7F7E,24375,90.76564,-90.35706
7F7E7F,24400,90.74702,-91.05469
7F897E,24400,2.25288,-1.53143
8D8384,24400,86.25288,30.11627
838E7E,24775,182.20746,87.52808
7C7D7F,24400,90.74702,-89.64844
808A7F,24775,183.79233,-95.98206
7C7E80,24400,90.74702,-89.64844
6F7E82,23175,0.75322,178.50259
868480,24775,-5.38986,4.52788
838680,24400,180.75288,89.64569
80897F,24400,176.24121,89.65118
7F7C7F,24400,180.74707,-89.64569
7C7F7F,24800,182.24707,90.34607
7F8581,24775,267.71484,90.34882
82807F,24375,-6.86739,-4.64906
818981,23175,180.77719,91.04919
72857B,20375,-87.71503,-93.82599
848C81,24025,78.61244,-24.96294
7F7D7F,24775,90.75969,101.6098
8C8382,27975,93.80589,81.96625
807E82,22425,-2.34041,13.90148
7D8282,21575,90.79488,105.10895
858791,25175,5.37534,-178.43319
71897D,22825,89.20638,-76.29181
888383,28775,-0.73494,7.70477
7D8383,27975,93.79266,-86.90735
888382,24400,90.74117,-89.65393
83827F,24775,180.75973,88.94531
807E7F,24375,-89.22234,-90.34607
917B93,23975,-0.7656,-172.23537
7E8382,25975,0.75969,-178.3941
817F80,24800,0.74121,1.53143
7C8381,24375,267.7026,90.35431
7F7E81,23575,261.60649,86.82495
7C7F7E,21175,2.27892,-1.54562
7F7E7F,24775,180.75377,88.94257
7C8B7C,24800,-89.24712,-89.65393
7C7D81,24775,90.76564,89.64844
7A877E,25175,170.18283,-87.54181
77837D,24375,182.29116,90.36804
767F80,24375,90.76564,-89.64844
78837E,24800,92.24117,-89.65118
777F81,25600,-0.74117,178.50446
808080,24375,90.75973,-90.35706
7D8181,23600,2.22363,7.64495
7C827F,24775,90.74186,84.02344
798182,25200,-89.24022,93.85345
7F8281,24400,0.75387,-175.32674
7E8280,24400,0.7662,175.38792
828589,27200,90.77761,103.0188
7B857E,24025,266.18975,89.64569
7F8080,27600,180.78957,95.27618
7F807A,24400,2.25316,-7.57237
8E7F81,25600,0.78232,175.41851
85857F,24800,90.7533,86.85242
7A827E,21600,176.24712,-99.4812
7E8381,24400,186.79422,93.18604
818190,25600,177.80562,-79.80469
77837C,22800,80.17676,152.82477
73807D,20775,-81.72646,-13.40999
81847F,23600,-9.78123,166.16239
7D8385,30375,84.71823,157.06329
828A80,22400,-83.29974,17.91541
7E7D7F,24400,90.74121,-90.35706
7D7E80,24375,180.78939,89.64569
7D7E7F,24800,-77.25293,6.89603
797F80,24400,84.74702,-18.07141
6C8082,24375,90.75969,-90.35156
7F8083,24400,269.28214,93.87543
7F7D80,24375,90.76569,89.64294
7F7E80,24775,-86.18942,44.11835
7F8082,24400,-89.24121,86.14929
7E8381,25200,-89.24623,-86.83868
718681,24375,-2.20802,7.84954
7F7D80,24800,90.74712,87.53632
7F8A7C,24775,90.75969,-88.94806
7C7D80,24375,267.72076,-89.64844
828180,24400,-89.25298,-90.35431
7C8280,24400,-2.27641,-7.63303
7B7E81,24400,2.24707,-175.41782
817C80,24400,90.74707,89.64294
7D7E80,24400,180.75293,-91.08765
7F7C80,24350,3.71178,178.40894
8A7C80,24800,186.8817,91.75781
807C81,24400,-87.75298,-88.94806
807C7E,19975,90.78892,95.97107
7D7D80,25950,-5.2706,-178.46693
83807E,24400,180.72954,88.93982
7D7B7F,24400,-11.24126,178.44221
808580,24775,182.29703,90.35156
7D8D7D,24000,3.76291,1.54604
77807F,22000,-0.78223,-4.66556
72837A,23200,267.65913,-90.36255
94858A,24400,267.75911,-84.01794
7E827F,22800,2.26127,175.38745
888582,24800,267.7208,88.98926
807D81,26400,84.73583,158.46954
7D827D,24000,179.25298,91.10138
7C8381,23600,90.72391,-88.94257
818181,24800,-86.21754,31.53351
7A817E,24800,90.68275,84.02069
7D8077,23200,182.26456,-92.45544
788C7F,23575,269.24075,94.56207
797C81,24000,84.65932,-20.60046
828190,24775,176.27875,-85.43243
7F867F,24000,2.24936,1.53406
72817E,22000,185.18253,-93.87543
7A847E,24025,180.75415,-91.04919
7E7D85,27600,0.75288,-166.07441
88807F,25200,87.72094,88.98651
7E837D,24000,98.26469,-87.49237
7E7E7E,25200,-3.75653,-4.57604
75827E,22400,-89.29394,-92.44995
8D8081,26000,-0.73599,-178.46613
80818E,26000,92.26723,95.27344
7D817E,26350,86.23704,44.47128
7E7E7F,24375,95.34192,91.75507
7E7D7F,24775,90.75969,-89.64844
7D8580,23200,180.68241,-90.36255
7B877F,23600,179.19434,90.37903
768080,21600,-87.76465,81.91956
7F807A,24000,2.29125,-178.46575
818089,24800,-86.1942,-148.23395
72827C,22800,185.22279,-99.49219
78817E,24800,176.12997,-102.99957
7C8181,24400,92.29116,96.02325
83837F,26000,-86.14156,-26.3681
7F837F,24800,267.71809,-99.46747
7E817C,22400,-2.25865,-10.82675
808283,24400,89.28827,-84.69635
8A807F,24400,-2.28492,-4.66119
7F817D,22800,176.24725,-96.64948
798681,24400,269.21676,-91.04919
7E8281,25625,-3.79852,-1.53345
8E8081,24375,90.76564,-88.94806
80817F,24400,0.74707,-1.53138
7C7D7F,24375,90.76564,-89.65668
83878E,24375,86.20092,130.60272
827E81,24375,182.27915,89.64294
7F7D7E,24775,95.32315,91.05469
868080,23975,86.21898,136.58203
7E7D80,24400,90.74702,-90.35431
80807E,24400,90.75293,91.05743
7E7F80,26350,264.72349,-91.74957
7E7B80,24775,90.74782,88.94531
817F7F,25175,182.32324,90.34882
868782,24825,2.26465,169.32799
71817E,21975,-86.32647,41.65878
77857D,22400,2.27324,-178.50212
7D807B,24000,-89.25865,91.80176
7D887E,25225,90.75293,-83.98499
7E8682,24800,2.30013,1.57928
8E8485,24400,-89.21745,93.86719
80828F,25600,0.79976,-7.4782
7F827E,22400,90.68827,-92.46368
7B827A,23200,92.24121,-91.71112
807F80,26800,179.28227,-84.0097
74817E,24800,90.74702,-90.35156
7C827E,22000,177.72363,90.35431
808288,26000,0.77055,-169.12521
79817F,22000,-2.25879,175.26294
7E7F80,28000,87.78223,-84.03168
7B817E,22400,87.74135,83.34503
7E8181,24800,-6.84337,169.24159
8D8081,26800,-0.74094,1.56774
808B81,26425,98.3177,-90.34607
8F7F82,26000,179.28799,-89.63745
79837C,21600,177.7413,79.81293
7D8A81,25625,92.24712,96.71539
888281,24800,89.25316,88.2724
7D8B7D,24000,87.64334,-90.33783
818180,27600,-87.68852,-87.54181
818A7F,24425,267.70638,83.32581
7F837F,23200,3.757,169.13215
849582,25200,177.77471,90.35431
80818E,26000,183.78804,-79.80469
80807F,24800,2.23763,1.50948
7B7E81,24375,182.28516,-89.64844
76827E,21200,179.2354,81.21368
7A807F,22000,-0.77632,175.31084
7F8180,24400,264.69998,94.59503
7E817D,24425,179.23445,-89.65668
7D827F,24400,6.86194,175.3757
81828A,24800,92.33892,97.39929
818488,26800,3.84633,175.55717
868580,25600,266.24702,91.08765
888884,24800,180.74702,89.65118
847F80,24375,-87.71484,-89.65118
808082,28000,86.31455,-41.6629
7E7D82,24025,174.68848,-88.92334
83828E,28800,2.32095,-175.24183
77827C,21200,87.73535,77.69806
7E7C7F,26825,90.76474,96.69067
858381,24400,2.28539,-175.41098
7A8B79,24000,93.72716,-91.75781
71817D,25200,-0.81738,172.1046
7F7F7E,25225,87.75302,-86.81396
8B8180,24400,-89.20405,-87.50885
7F817D,24400,-3.79247,169.19305
848C81,27200,78.65196,9.24719
81818C,27600,92.30908,88.24219
81827F,23600,177.70902,-95.25146
7E847F,24400,-2.24071,178.50502
7E817F,27200,93.79408,-91.06018
928181,24800,266.25288,90.36255
7C7F80,24375,90.75969,-89.64844
8C7F80,24425,90.78854,-87.5116
7F8081,28000,-8.26167,172.36857
7E7F7F,24825,267.69438,-91.02997
82837F,22400,177.70302,84.05914
827E80,23225,177.73535,-92.42523
7E8C7D,22000,182.21966,88.26691
7C857F,23600,90.73636,-91.05469
8B8281,27225,0.81757,1.55508
827D7F,24425,182.26165,-97.36633
7F977B,22400,180.72403,89.66217
7F8280,23600,89.2345,83.35602
768581,20800,267.72354,83.30109
7D817F,24800,84.74117,17.79126
7F7E81,27200,-89.2283,-81.90308
858580,24400,90.74739,85.45166
73807D,21200,-87.78227,-98.79456
7E817C,24400,267.72094,93.20801
838388,28400,-6.77796,10.88021
7D7E81,24400,173.17094,-92.44995
7B8481,24000,180.72391,-91.05194
7F7D81,27200,174.74169,-85.42419
80818A,25200,183.81166,96.69891
82828A,26400,90.79548,-76.98944
76817E,21600,87.71777,92.45819
7C817F,24000,86.22404,149.89471
7F817E,26000,2.30317,-4.60034
828684,26800,84.75293,20.46259
888080,25200,-0.74684,175.3944
7D837D,22400,-83.21003,-162.49329
7B837B,23225,0.74809,-178.44221
897F7F,24800,-0.72985,-178.41754
818D81,24825,89.21782,-91.03271
7E807F,24025,-89.2527,89.66492
868685,28000,186.87334,-78.39844
72827C,24800,93.6768,79.09882
7C887F,24025,-87.74707,-86.09436
79867C,23625,0.74819,-178.45415
8C8181,24400,180.78971,92.47742
81817F,27600,-5.28829,-7.67996
848480,25200,269.25325,-92.40601
738D7E,24375,87.70912,89.68414
7F8D7F,24775,84.65208,22.41211
807C7F,24400,182.25279,107.91321
797C81,24425,6.7011,-172.58735
717F7F,24375,182.2792,89.64569
7F967B,23975,-0.75969,172.21169
7C827A,23600,269.2344,-91.0025
838780,24400,-86.21325,134.84207
7B817F,22400,3.7928,4.56468
74867C,23200,260.16499,-91.04919
7E7A84,29625,0.71886,-169.32555
917D7E,24750,-6.84096,-4.68902
7D8180,19575,177.6371,89.60999
7D7D80,24800,263.1888,78.41766
828B83,24425,267.72954,90.39276
71827D,22400,6.72438,-172.40509
847D7F,24425,267.72372,-89.62372
7F8080,26800,95.35277,-82.6062
847F81,24825,267.74126,-89.62097
7D8B80,25225,5.29436,1.53152
7D837E,22000,95.25859,-92.46643
828A90,28800,0.80135,-10.5653
80977F,28800,266.21349,-90.35156
7F7E80,24800,182.24117,97.39929
76807D,20800,266.23531,-100.90118
7F817C,24400,179.24646,91.08765
818C82,26800,180.75973,-80.48584
758880,24400,3.70642,7.56255
807E7E,23225,90.71823,-91.73859
7D8380,24000,92.27347,-89.6402
828883,27600,176.26712,-87.53632
79887B,23600,269.17676,-91.74133
77957C,24775,90.7717,92.50214
807F81,25200,267.76889,94.59229
7E7D83,28000,180.77761,-89.64844
807F7D,25550,180.80717,100.21454
81808F,25600,267.79976,-80.51056
718A7D,24775,90.73022,-92.43347
828190,25200,267.82915,97.38831
7E827A,24000,269.24734,91.78802
828B7F,24800,101.31766,-88.23395
808179,23625,87.70316,89.64294
7F8185,24800,183.80457,-88.94531
7D8D7D,24800,180.75879,89.65118
7D7F80,24800,90.74707,-90.34607
75827F,21200,93.7354,80.50781
8C7F7F,24800,90.78967,91.07666
7F7F7F,27600,177.7506,-84.02344
7C8681,25200,176.18937,-89.64844
807F80,27200,269.27015,-85.41595
7D9177,22775,-86.18346,-134.81735
7D817B,24000,182.25298,-88.18451
86897C,25600,9.84673,-178.43282
79837D,23600,180.76564,88.94531
747E81,20425,102.80829,-86.84692
85917E,25175,-5.22917,-22.89357
858D7D,24775,90.7716,-88.94806
7D7E80,24775,90.7716,-90.35431
7D7F7F,24375,182.28516,-100.23376
7D8086,27975,185.28818,93.22998
837E80,27150,84.76511,-158.12485
7B8080,27175,11.46378,14.21494
7D847F,24000,179.24022,-89.6402
828281,24000,0.72945,-175.3937
7F867E,24775,182.29121,-92.4527
7F8181,25200,-89.23436,-88.94806
817D81,24375,182.27915,89.64844
7A8382,24800,266.1775,-85.41595
758082,24400,-0.75293,178.45661
7E857F,23600,-0.75879,-1.54321
71807F,21600,86.20592,-31.99677
838D83,24425,267.72372,89.67041
75827E,24400,87.65337,-96.68243
77807F,22000,179.19255,91.05469
80877F,24375,90.76569,87.53082
27E7F7,13011.81144,18.16263,0.7043
81857F,24800,263.13261,-90.35156
81877D,24375,9.91227,1.52161
7E837A,24800,177.73309,-88.21198
8D8281,25600,182.26479,-91.70837
82818E,26400,-86.20615,-25.66681
74807C,20800,84.62979,161.08594
798A7F,24025,177.75883,-88.20099
818A84,27625,92.33524,92.46368
8E8383,25200,86.22522,-45.50262
787E7E,24400,-6.84077,-1.60303
7E8380,24775,269.25186,-90.34882
8C8382,24375,-86.19538,44.82559
807D80,25175,182.25275,88.94257
787F7F,22000,171.6132,-100.14587
75817D,22800,90.75861,74.18793
827F7F,21200,267.69101,-101.60431
80818F,25600,92.32077,103.7439
7E7D80,23200,96.74872,94.56757
807B81,24400,182.24712,89.64844
7D7D82,24375,267.70884,-89.65118
7F7D83,21975,179.30521,103.02704
898584,24400,0.82947,-4.60569
727981,20400,171.72926,-96.68243
747E81,24775,194.33441,84.72382
7C8082,22400,269.28198,-86.76727
838E7E,25975,11.38774,1.58208
817C81,27175,81.69648,12.50558
7D8180,24800,-84.74121,17.78796
807D80,24775,182.28511,-88.94806
7E827F,24400,-87.73535,88.24219
767E81,24400,180.7646,-90.35156
8A7F88,24000,2.24702,-1.50759
7B7F81,24800,96.75288,-90.35156
787D81,24400,-83.25293,14.82376
817D7F,24400,86.25879,150.35156
7A847C,24775,-0.77087,175.39398
767F80,24400,90.75288,90.35156
757380,20800,176.21187,-90.40649
6A8F7C,22000,72.61812,-15.90336
697E7F,19200,90.73548,84.00146
6B8780,28000,185.32306,-98.79456
808380,28000,86.21386,37.80396
787D80,22000,96.76623,88.25867
877F7F,24775,3.78204,-1.51947
818581,24775,182.28511,-86.83594
818380,24800,2.25288,4.58228
80837E,25175,176.20697,-90.35156
80837F,24800,0.75288,4.57027
7B807F,24400,-83.26469,165.40237
807D7D,22000,267.73258,84.75403
7A9A8D,29975,179.2169,-81.21094
7C7C7F,24375,174.65804,89.64844
7D7E80,24000,90.74121,-89.65668
7D8283,24375,-2.29121,1.47288
7F8080,23200,-84.67596,-157.58858
69867D,20800,-0.81336,4.67326
7E7D83,25600,-2.25293,-175.35776
8F7F81,26800,177.76465,-92.4115
8A8282,24025,183.79427,-90.33783
828281,28400,84.75333,158.46474
7C7C81,24000,261.6769,-100.89294
7D8380,24400,269.25883,93.20526
808089,25600,180.78953,103.02704
858684,28400,176.27289,-88.24493
83827F,24800,86.22972,-150.82123
73807E,22000,183.75691,86.83044
7E8280,23600,81.72972,-11.11782
81817F,25625,269.25883,93.88916
7F807E,24800,89.22826,91.77704
7F817A,24400,89.24013,-88.21747
858F80,26800,263.27055,-84.01794
79867C,24000,269.17671,-91.74408
80817F,23600,2.28534,175.35108
808481,26000,180.75973,96.00128
7F8088,26000,182.24117,-87.53632
7E7F83,28000,86.29668,135.87753
7B8481,24400,180.74823,91.09314
838784,26800,-84.65808,160.05157
7F817C,24800,179.25284,91.78253
808380,25200,92.30603,96.00403
90888A,24775,90.75969,-90.35431
8A8080,24375,267.70884,-90.35431
808080,22000,83.2002,165.17578
7E7D80,24400,96.75288,-91.05469
808A88,26425,261.74712,91.05194
81807F,25950,90.7953,-82.59521
718F7C,23600,87.64755,-89.65118
6E8580,25175,186.76032,79.81842
77817F,24750,89.16872,-92.49664
82817F,25950,183.75865,-91.73859
81818D,29200,179.29413,-89.65118
807F80,24400,177.74126,88.23669
74847C,22800,182.21961,88.94257
7C8381,24400,-89.26974,89.64844
839480,25200,95.30013,89.64844
788E7F,24375,3.81672,178.50373
837E7F,24400,-89.24581,84.74304
7B8680,24375,0.73548,-1.55779
7B8381,24375,90.75973,91.05469
767F7F,24800,263.16508,-96.68793
7F7E7F,24825,90.77087,-90.34332
85807E,24400,-8.24684,178.42141
807F7F,26000,86.26726,47.2934
848081,24000,177.74126,88.98926
7D8A7E,24425,264.69461,81.91406
7F7F8E,28400,93.83437,-83.32306
899285,24400,-3.75266,-7.62116
787E7E,24800,263.12079,90.34332
738082,24375,266.19529,90.35431
818081,24775,264.74693,-90.34882
7D7D80,24375,-6.84951,166.0405
7D7D7F,24775,90.75377,90.34882
7F7D80,24375,90.75973,-90.35706
857E7E,24375,90.75973,90.34332
77807E,24375,90.75969,-88.24219
88817F,24800,-2.28525,-1.54528
77807F,22400,264.64165,85.42694
868681,24400,182.28553,-93.82599
77817E,22800,96.81366,-88.94531
817F7F,27600,2.33878,178.49061
7F8177,24400,89.24698,-88.9151
7F837F,24800,95.25316,-88.94257
808B81,26400,176.26721,91.06018
818189,27200,180.7717,96.69067
8D8E81,26400,263.21017,91.75507
818289,27200,92.30299,-77.69531
7C847F,24425,179.24651,-90.34607
7F8287,25200,-5.30016,178.57599
897E7E,24825,-87.74112,90.37354
898181,25200,-0.74716,1.5196
807C7F,24400,182.23777,-98.08044
74827E,22800,-3.89405,-7.74053
7C7E7F,24400,180.74707,89.65118
7D847F,23975,-89.27083,-91.05469
857E7F,24400,192.75293,90.35156
7F8280,24400,-2.25293,7.63308
8B807E,24400,182.24707,90.34607
807E7F,21975,-89.26469,90.34882
